"","Name","Position","Age","Team","Games","GS","AFP"
"230","Dwight Powell","C",28,"DAL",40,37,27.4
"231","Langston Galloway","SG",28,"DET",66,6,27.15
"232","Maxi Kleber","PF",28,"DAL",74,21,27.1
"233","Enes Kanter","C",27,"BOS",58,7,27.05
"234","Willie Cauley-Stein","C",26,"GSW",41,37,26.95
"235","Dion Waiters","SG",28,"MIA",3,0,26.85
"236","Marcus Morris","PF",30,"LAC",19,19,26.75
"237","Tyus Jones","PG",23,"MEM",65,6,26.65
"238","Jordan McLaughlin","PG",23,"MIN",30,2,26.6
"239","Delon Wright","PG",27,"DAL",73,5,26.55
"240","Trevor Ariza","SF",34,"TOT",53,21,26.45
"241","Ivica Zubac","C",22,"LAC",72,70,26.45
"242","Reggie Jackson","SG",29,"LAC",17,6,26.3
"243","Michael Porter Jr.","SF",21,"DEN",55,8,26
"244","T.J. McConnell","PG",27,"IND",71,3,26
"245","Dragan Bender","PF",22,"GSW",9,3,25.85
"246","De'Anthony Melton","PG",21,"MEM",60,8,25.8
"247","Alex Len","C",26,"ATL",40,9,25.75
"248","Furkan Korkmaz","SG",22,"PHI",72,12,25.7
"249","Gorgui Dieng","C",30,"MIN",46,17,25.65
"250","Mychal Mulder","SF",25,"GSW",7,3,25.55
"251","Jabari Parker","PF",24,"SAC",6,0,25.4
"252","Cameron Johnson","PF",23,"PHO",57,9,25.35
"253","Jarrett Culver","SG",20,"MIN",63,35,25.3
"254","Kevin Porter Jr.","SF",19,"CLE",50,3,25.25
"255","Gorgui Dieng","C",30,"TOT",63,17,25.2
"256","Doug McDermott","PF",28,"IND",69,0,25.15
"257","Justin Holiday","SF",30,"IND",73,6,25.05
"258","Willie Cauley-Stein","C",26,"TOT",54,39,24.9
"259","James Johnson","PF-C",32,"TOT",32,1,24.85
"260","Jalen Brunson","PG",23,"DAL",57,16,24.85
"261","Markieff Morris","PF",30,"TOT",58,17,24.85
"262","Gorgui Dieng","C",30,"MEM",17,0,24.75
"263","Jerome Robinson","SG",22,"WAS",21,5,24.75
"264","P.J. Tucker","PF",34,"HOU",72,72,24.6
"265","Jeff Teague","PG",31,"ATL",25,4,24.6
